DATE,CTRQGSP, Population
1/1/2001,2.19932E+11,3432835
4/1/2001,2.19938E+11,3432835
7/1/2001,2.19947E+11,3432835
10/1/2001,2.19955E+11,3432835
1/1/2002,2.19957E+11,3458749
4/1/2002,2.20499E+11,3458749
7/1/2002,2.21041E+11,3458749
10/1/2002,2.21583E+11,3458749
1/1/2003,2.22125E+11,3484336
4/1/2003,2.25772E+11,3484336
7/1/2003,2.29415E+11,3484336
10/1/2003,2.33059E+11,3484336
1/1/2004,2.36699E+11,3496094
4/1/2004,2.3768E+11,3496094
7/1/2004,2.38661E+11,3496094
10/1/2004,2.39641E+11,3496094
1/1/2005,2.40622E+11,3506956
4/1/2005,2.42116E+11,3506956
7/1/2005,2.41801E+11,3506956
10/1/2005,2.44982E+11,3506956
1/1/2006,2.52547E+11,3517460
4/1/2006,2.50172E+11,3517460
7/1/2006,2.50315E+11,3517460
10/1/2006,2.53484E+11,3517460
1/1/2007,2.61483E+11,3527270
4/1/2007,2.61604E+11,3527270
7/1/2007,2.61727E+11,3527270
10/1/2007,2.59158E+11,3527270
1/1/2008,2.71741E+11,3545579
4/1/2008,2.66601E+11,3545579
7/1/2008,2.56335E+11,3545579
10/1/2008,2.42864E+11,3545579
1/1/2009,2.50016E+11,3561807
4/1/2009,2.4787E+11,3561807
7/1/2009,2.47664E+11,3561807
10/1/2009,2.48899E+11,3561807
1/1/2010,2.47104E+11,3579173
4/1/2010,2.48893E+11,3579173
7/1/2010,2.48907E+11,3579173
10/1/2010,2.46604E+11,3579173
1/1/2011,2.40676E+11,3588632
4/1/2011,2.43417E+11,3588632
7/1/2011,2.41812E+11,3588632
10/1/2011,2.43388E+11,3588632
1/1/2012,2.44235E+11,3595211
4/1/2012,2.44749E+11,3595211
7/1/2012,2.43884E+11,3595211
10/1/2012,2.4359E+11,3595211
1/1/2013,2.4017E+11,3595792
4/1/2013,2.38128E+11,3595792
7/1/2013,2.38746E+11,3595792
10/1/2013,2.37441E+11,3595792
1/1/2014,2.33508E+11,3595697
4/1/2014,2.36476E+11,3595697
7/1/2014,2.39025E+11,3595697
10/1/2014,2.41793E+11,3595697
1/1/2015,2.44712E+11,3588561
4/1/2015,2.45994E+11,3588561
7/1/2015,2.44973E+11,3588561
10/1/2015,2.45539E+11,3588561
1/1/2016,2.4632E+11,3579830
4/1/2016,2.46005E+11,3579830
7/1/2016,2.45288E+11,3579830
10/1/2016,2.46252E+11,3579830
1/1/2017,2.46161E+11,3575324
4/1/2017,2.48829E+11,3575324
7/1/2017,2.48953E+11,3575324
10/1/2017,2.48366E+11,3575324
1/1/2018,2.49589E+11,3574561
4/1/2018,2.47718E+11,3574561
7/1/2018,2.50471E+11,3574561
10/1/2018,2.48395E+11,3574561
1/1/2019,2.51392E+11,3566022
4/1/2019,2.50667E+11,3566022
7/1/2019,2.51047E+11,3566022
10/1/2019,2.52215E+11,3566022
1/1/2020,2.48334E+11,3557006
4/1/2020,2.26222E+11,3557006
7/1/2020,2.42766E+11,3557006
10/1/2020,2.4689E+11,3557006
