DATE,CTNGSP, Population, Annual Pop. Change
1/1/2001,172834.5,3432835,0.62
1/1/2002,176191.6,3458749,0.75
1/1/2003,181230.3,3484336,0.74
1/1/2004,198282.4,3496094,0.34
1/1/2005,208660.9,3506956,0.31
1/1/2006,222914.3,3517460,0.3
1/1/2007,237397.6,3527270,0.28
1/1/2008,240576.2,3545579,0.52
1/1/2009,236921.6,3561807,0.46
1/1/2010,238051.6,3579173,0.49
1/1/2011,236816.3,3588632,0.26
1/1/2012,244114.4,3595211,0.18
1/1/2013,244127.5,3595792,0.02
1/1/2014,248778.9,3595697,0
1/1/2015,262372.7,3588561,-0.2
1/1/2016,266747.3,3579830,-0.24
1/1/2017,272569.9,3575324,-0.13
1/1/2018,279782.3,3574561,-0.02
1/1/2019,287822.2,3566022,-0.24
1/1/2020,280900.3,3557006,-0.25
