date, GDP Growth (%), Annual Change, 
12/31/2001,0.9983,-3.13,
12/31/2002,1.7417,0.74,
12/31/2003,2.8612,1.12,
12/31/2004,3.7989,0.94,
12/31/2005,3.5132,-0.29,
12/31/2006,2.855,-0.66,
12/31/2007,1.8762,-0.98,
12/31/2008,-0.1366,-2.01,
12/31/2009,-2.5368,-2.4,
12/31/2010,2.5638,5.1,
12/31/2011,1.5508,-1.01,
12/31/2012,2.2495,0.7,
12/31/2013,1.8421,-0.41,
12/31/2014,2.526,0.68,
12/31/2015,2.908,0.38,
12/31/2016,1.6378,-1.27,
12/31/2017,2.3698,0.73,
12/31/2018,2.9273,0.56,
12/31/2019,2.1612,-0.77,
